run_uid,question_id,dataset,is_representative,is_correct,probe_margin,se_probe_margin,entropy_baseline_margin,probe_prob_correct,se_probe_prob_high,entropy_baseline_prob,semantic_entropy,mean_think_entropy,think_token_len,think_char_len,umap_x,umap_y
math-198-1,198,math,False,True,2.07555,3.44833,1.04407,0.8885,0.96918,0.73963,1.22753,0.10874,4747,10048,-2.50316,4.98321
math-323-6,323,math,False,True,11.69558,-18.43084,1.32462,0.99999,0.0,0.78995,-0.0,0.092,548,1457,-1.35121,1.12884
math-334-3,334,math,True,True,7.26469,4.87225,-1.43895,0.9993,0.9924,0.19171,1.16828,0.25687,7103,17600,18.62402,6.99693
math-139-5,139,math,False,False,-12.30887,5.80386,-2.97008,0.0,0.99699,0.0488,0.80182,0.34822,8192,4,-19.58806,-3.57169
math-92-5,92,math,False,True,3.88622,3.31046,-0.4946,0.97989,0.96479,0.37881,0.32508,0.20053,1226,3835,-1.62474,1.76632
math-12-6,12,math,False,False,-8.52779,-30.63877,-0.30635,0.0002,0.0,0.42401,-0.0,0.1893,8192,4,-18.2334,-0.22151
math-77-9,77,math,False,True,6.11806,-5.25739,-1.29627,0.9978,0.00518,0.21479,-0.0,0.24836,1290,4103,14.62825,11.94981
math-307-8,307,math,True,False,-9.48652,-4.25222,-1.68554,8e-05,0.01403,0.15636,-0.0,0.27158,8192,4,-19.16962,-2.75007
math-300-3,300,math,False,True,9.53808,7.23137,0.14281,0.99993,0.99928,0.53564,0.32508,0.16251,1874,5280,-0.63943,7.62611
math-208-0,208,math,False,True,10.12911,-4.74909,0.50417,0.99996,0.00859,0.62344,-0.0,0.14095,611,1896,3.7062,8.57681
math-307-4,307,math,False,False,-12.25006,-4.20243,-1.18394,0.0,0.01474,0.23435,-0.0,0.24166,8192,4,-18.11453,-3.8953
math-30-8,30,math,False,True,6.85541,4.44911,-0.9461,0.99895,0.98845,0.27967,0.61086,0.22747,1343,4675,1.57854,7.87938
math-122-5,122,math,True,True,12.09767,-19.98913,1.37934,0.99999,0.0,0.79889,-0.0,0.08873,515,1470,5.61266,9.91354
